Signbank ID,Dataset,Lemma ID Gloss,Annotation ID Gloss,Keywords,Semantic Field,Handedness,Location - major,Location - minor 1,Location - minor 2,Dominant hand - Selected Fingers,Dominant hand - Flexion,Abduction change,Flexion change,Nondominant Handshape,Path movement,Word class,Lexical category 2,Lexical category notes,Derivation history,Type of iconicity,Number of Occurrences,Number of Signers,In the Web dictionary,Is this a proposed new sign?,SignLanguages,Dialects,Sequential Morphology,Simultaneous Morphology,Blend Morphology,Relations to other signs,Relations to foreign signs,Tags,Notes
2044,ASL,ABSOLUTELY-NOTHING,ABSOLUTELY-NOTHING,"absolutely nothing, all out, depleted, empty, none, nothing, zilch",Attribute,OneHanded,Head,Mouth,-,imrp,6 (curved closed),,,N/A,none,noun,-,,,-,0,0,True,False,,,,,,"seealso:2877, seealso:1558, seealso:2059, seealso:513, seealso:1560, seealso:3092, seealso:1556, seealso:516, seealso:1478, seealso:4053",,,
1321,ASL,AND-WHATNOT,AND-WHATNOT,"and so and so, and so on, and that kind of thing, and whatnot, et cetera, etc, etcetera, variety",Discourse Marker,SymmetricalOrAlternating,Neutral,Neutral,-,imrp,1 (fully open),,,N/A,straight,noun,-,,,-,0,0,True,False,ASL,unspecified,,,,"synonym:2067, seealso:10, synonym:1323, seealso:3562, synonym:3707, synonym:3706, synonym:3812, synonym:4250, synonym:4459, synonym:4703",,,"ID Gloss change: (False,1,This used to be ETCETERA. Changed because it's not the same lemma as the other signed labeled as ETCETERA.)"
3061,ASL,ANNOTATE,ANNOTATE,"annotate, annotation, coding, document, documentation, fill out, filling out, tag, transcribe, transcription, writing",Event,AsymmetricalDifferentHandshape,Hand,Palm,-,imrp,4 (flat closed),,,B,other,verb,-,,,-,0,0,True,False,,,,,,"seealso:1458, seealso:1265, seealso:3279, seealso:4455, seealso:1467, seealso:550",,,
427,ASL,CANNOT,CANNOT,"can not, can't, cannot, impossible, unable",Attribute,AsymmetricalSameHandshape	,Hand,FingerTip,-,i,1 (fully open),,,N/A,straight,verb,-,,,-,0,0,True,False,,,,,,"antonym:426, seealso:1745, seealso:3994",,,"ID Gloss change: (False,1,This used to be CAN'T. Changed to match ASL-LEX. Collapsed with previous suggested ID gloss CANT.)"
438,ASL,CUTE_1or2,CUTEnoth,"CUTEnoth, candy, cute, sugar, sweet",Attribute,OneHanded,Head,Chin,-,im,1 (fully open),,True,N/A,straight,adjective,-,,,-,0,0,True,False,ASL,unspecified,,,,"antonym:1351, variant:3826",,picture:need new one,"About ID Gloss: (True,3,Changed from CUTE to CUTEnoth to accommodate other variant - JAH), Misc: (False,1,ASL-LEX's CUTE_1 and CUTE_2 are the same manual form, just different NMSes; so SB could keep this as one form and add LEX's as the other, the CUTE form with none path movement and repeated internal movement of im), Misc: (False,1,Not sure who wrote the note here starting ""ASL-LEX's CUTE_1 and CUTE_2 are the same manual..."" - this is a known issue. I already reported that I didn't think CUTE1 and CUTE2 were different in ASL-LEX and said we would have just one.)"
1693,ASL,KNOW-NOTHING,KNOW-NOTHINGf,"clueless, don't know, ignorance, ignorant, know-nothing, nothing",Attribute,OneHanded,Head,ForeHead,-,i,6 (curved closed),,,N/A,straight,-,-,,,-,0,0,True,False,ASL,unspecified,,,,"variant:3052, seealso:2180, antonym:3168, antonym:554, seealso:1354, seealso:3434",,,"ID Gloss change: (False,1,Changed to KNOW-NOTHINGf to accommodate other variant KNOW-NOTHINGo - JAH)"
3052,ASL,KNOW-NOTHING,KNOW-NOTHINGo,"KNOW-NOTHINGo, clueless, don't know, know nothing, know-nothing, unaware",Attribute,OneHanded,Head,ForeHead,-,imrp,6 (curved closed),,,N/A,straight,-,-,,,-,0,0,True,False,ASL,unspecified,,,,"variant:1693, seealso:2180, antonym:3168, antonym:554, seealso:1354, seealso:3434",,,
515,ASL,NOT,NOT,"don't, not, won't",Event,OneHanded,Head,Chin,-,thumb,1 (fully open),,,N/A,straight,-,-,,,-,0,0,True,False,ASL,unspecified,,,,"seealso:2737, seealso:1272, seealso:1557, seealso:1432",,,
1558,ASL,NOT-A-THING,NOT-A-THING,"all gone, all out, depleted, empty, missing, nil, not a thing, not here, nothing, zero, zilch",Grammar,OneHanded,Head,Other,-,imrp,1 (fully open),,,N/A,curved,-,-,,,-,0,0,True,False,ASL,unspecified,,,,"seealso:2877, seealso:2059, seealso:2044, seealso:4053",,,
1557,ASL,NOT-NEED,NOT-NEED,"do not need, don't need, not necessary, not need",Event,OneHanded,Head,Chin,-,i,5 (curved open),,,N/A,curved,verb,-,,Compound,-,0,0,True,False,ASL,unspecified,,,,"antonym:962, seealso:515, seealso:194, synonym:1272",,,"About ID Gloss: (False,1,Discussed whether this should be glossed as two distinct ID glosses or with a single unique ID gloss. Decided should be a single unique ID gloss.), Misc: (False,1,Re AAB note about duplicate, the two forms have different movement in the beginning because of different derivation histories so they're not duplicates (but sure look close!) - JAH), Misc: (False,1,Response to JAH about NOT-NEED - was just documenting notes from ID gloss disgest, not noting duplicate :) But question about this, since NOT-NEED and DON'T-NEED marked as synonyms (possibly by me), do they indeed have the same meaning? AAB), Misc: (False,1,We also have DON'T-NEED. DON'T-NEED has headshake and no repetition of NEED. -AAB)"
200,ASL,NOT-YET,NOT-YET,"haven't, not yet",Time,SymmetricalOrAlternating,Neutral,Neutral,-,imrp,1 (fully open),,,N/A,none,-,-,,,-,0,0,True,False,ASL,unspecified,,,,seealso:1689,,,
1556,ASL,NOTHING,NOTHING,"nobody, none, nothing, nothing at all",Attribute,SymmetricalOrAlternating,Neutral,Neutral,-,imrp,6 (curved closed),,,N/A,BackAndForth,-,-,,,-,0,0,True,False,ASL,unspecified,,,,"seealso:2044, seealso:2059, seealso:513, seealso:1560, seealso:3092, seealso:516, seealso:1478, antonym:3707, seealso:4053, seealso:1562",,video:NeedToScrubSound,
516,ASL,NOTHING-AT-ALL,NOTHING-AT-ALL,"none, nothing, nothing at all",Grammar,SymmetricalOrAlternating,Head,Chin,-,imrp,7 (fully closed),,True,N/A,straight,noun,-,,,-,0,0,True,False,ASL,unspecified,,,,"seealso:2044, seealso:2059, seealso:513, seealso:1560, seealso:3092, seealso:1556, seealso:2877, seealso:4053",,,
1555,ASL,NOTICE,NOTICE,"detect, note, notice, recognition, recognize",Event,AsymmetricalDifferentHandshape,Head,CheekNose,-,i,5 (curved open),,,B,other,noun,-,,Compound,-,0,0,True,False,ASL,unspecified,,,,"seealso:449, seealso:3173, seealso:4434",,picture:need new one,"About ID Gloss: (False,1,Rejected suggestion to gloss as RECOGNIZE.), Misc: (True,1,Second component of compound unknown. -AAB)"
1432,ASL,WHY-NOT,WHY-NOT,"contraction, not, why, why not",Grammar,OneHanded,Head,Chin,-,imrp,1 (fully open),,True,N/A,curved,"minor (preposition, pronoun, conjunction)",-,,Compound,-,0,0,True,False,ASL,unspecified,,,,"seealso:36, seealso:1431, seealso:2766, seealso:515",,,"Misc: (False,1,Derivation history: compound. -AAB)"
1810,ASL,i(not-me),i(not-me),"I give, all right, back away, don't blame me, gesture, hands off, interjection, it wasn't me, my bad, no part of it, not it, not me, not my fault, not my problem, okay I won't, surrender, to back off",Discourse Marker,-,-,-,-,-,-,,,-,-,-,-,,,-,0,0,True,False,,,,,,"seealso:1842, seealso:4085, seealso:4695, seealso:4695",,,"ID Gloss change: (False,1,Used to be separate ID glosses g(surrender) and g(be-careful). Collapsed with previously separate ID gloss g(okay).)"
